R001ex	1 C00089[e] <-
R01773[c]	1 C00263[c] + 1 C00003[c] <-> 1 C00441[c] + 1 C00004[c] + 1 C00080[c]
R01771[c]	1 C00002[c] + 1 C00263[c] <-> 1 C00008[c] + 1 C01102[c]
R01466[c]	1 C01102[c] + 1 C00001[c] <-> 1 C00188[c] + 1 C00009[c]
R00258[c]	1 C00041[c] + 1 C00026[c] <-> 1 C00022[c] + 1 C00025[c]
R00483[c]	1 C00002[c] + 1 C00049[c] + 1 C00014[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C00152[c]
R00529[c]	1 C00002[c] + 1 C00059[c] <-> 1 C00013[c] + 1 C00224[c]
R02021[c]	1 C00342[c] + 1 C00053[c] <-> 1 C00343[c] + 1 C00094[c] + 1 C00054[c]
R08553[c]	1 C00020[c] + 1 C00094[c] + 1 C00016[c] <-> 1 C00224[c] + 1 C01352[c]
R00528[c]	1 C00094[c] + 1 C00001[c] + 2 C00125[c] <-> 1 C00059[c] + 2 C00126[c] + 2 C00080[c]
R00861[c]	1 C00283[c] + 1 C02582[c] + 2 C00028[c] + 3 C00001[c] <-> 1 C00094[c] + 1 C02315[c] + 2 C00030[c] + 2 C00080[c]
R00858[c]	1 C00283[c] + 3 C00006[c] + 3 C00001[c] <-> 1 C00094[c] + 3 C00005[c] + 3 C00080[c]
R00897[c]	1 C00979[c] + 1 C00283[c] <-> 1 C00097[c] + 1 C00033[c]
R00586[c]	1 C00065[c] + 1 C00024[c] <-> 1 C00979[c] + 1 C00010[c]
R01288[c]	1 C01118[c] + 1 C00283[c] <-> 1 C00155[c] + 1 C00042[c]
R09497[c]	1 C00244[c] + 1 C15603[c] <-> 1 C00088[c] + 1 C15602[c] + 1 C00001[c]
R00792[c]	1 C00244[c] + 2 C06259[c] <-> 1 C00088[c] + 1 C00001[c] + 2 C06260[c]
R00791[c]	1 C00088[c] + 1 C00001[c] + 2 C00139[c] <-> 1 C00244[c] + 2 C00138[c]
R00294[c]	2 C00533[c] + 2 C00126[c] + 2 C00080[c] <-> 1 C00887[c] + 2 C00125[c] + 1 C00001[c]
R05185[c]	16 C00002[c] + 1 C00697[c] + 8 C00138[c] + 8 C00080[c] + 16 C00001[c] <-> 16 C00009[c] + 16 C00008[c] + 8 C00139[c] + 2 C00014[c] + 1 C00282[c]
R05186[c]	16 C00002[c] + 1 C00697[c] + 4 C02745[c] + 16 C00001[c] <-> 16 C00009[c] + 16 C00008[c] + 4 C02869[c] + 2 C00014[c] + 1 C00282[c]
R00114[c]	2 C00025[c] + 1 C00006[c] <-> 1 C00064[c] + 1 C00026[c] + 1 C00005[c] + 1 C00080[c]
R00021[c]	2 C00025[c] + 2 C00139[c] <-> 1 C00064[c] + 1 C00026[c] + 2 C00138[c] + 2 C00080[c]
R04037[c]	1 C02741[c] + 1 C00001[c] <-> 1 C04896[c]
R04640[c]	1 C04896[c] <-> 1 C04916[c]
R04558[c]	1 C04916[c] + 1 C00064[c] <-> 1 C04666[c] + 1 C04677[c] + 1 C00025[c]
R03457[c]	1 C04666[c] <-> 1 C01267[c] + 1 C00001[c]
R03012[c]	1 C00860[c] + 1 C00003[c] <-> 1 C01929[c] + 1 C00004[c] + 1 C00080[c]
R01163[c]	1 C01929[c] + 1 C00001[c] + 1 C00003[c] <-> 1 C00135[c] + 1 C00004[c] + 1 C00080[c]
R00941[c]	1 C00234[c] + 1 C00006[c] + 1 C00001[c] <-> 1 C00101[c] + 1 C00011[c] + 1 C00005[c] + 1 C00080[c]
R04560[c]	1 C00234[c] + 1 C04677[c] <-> 1 C00101[c] + 1 C04734[c]
R01127[c]	1 C00130[c] + 1 C00001[c] <-> 1 C04734[c]
R01083[c]	1 C03794[c] <-> 1 C00122[c] + 1 C00020[c]
R01130[c]	1 C00130[c] + 1 C00003[c] + 1 C00001[c] <-> 1 C00655[c] + 1 C00004[c] + 1 C00080[c]
R01230[c]	1 C00002[c] + 1 C00655[c] + 1 C00014[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C00144[c]
R00330[c]	1 C00002[c] + 1 C00035[c] <-> 1 C00008[c] + 1 C00044[c]
R00332[c]	1 C00002[c] + 1 C00144[c] <-> 1 C00008[c] + 1 C00035[c]
R03314[c]	1 C01165[c] <-> 1 C03912[c] + 1 C00001[c]
R01248[c]	1 C00148[c] + 1 C00003[c] <-> 1 C03912[c] + 1 C00004[c] + 1 C00080[c]
R00671[c]	1 C00077[c] <-> 1 C00148[c] + 1 C00014[c]
R02821[c]	1 C00719[c] + 1 C00155[c] <-> 1 C01026[c] + 1 C00073[c]
R00367[c]	1 C00019[c] + 1 C00037[c] <-> 1 C00021[c] + 1 C00213[c]
R00946[c]	1 C00440[c] + 1 C00155[c] <-> 1 C00101[c] + 1 C00073[c]
R00385[c]	1 C00040[c] + 1 C00006[c] <-> 1 C00605[c] + 1 C00005[c] + 1 C00080[c]
R01217[c]	1 C00143[c] + 2 C00138[c] + 2 C00080[c] <-> 1 C00440[c] + 2 C00139[c]
R00650[c]	1 C00019[c] + 1 C00155[c] <-> 1 C00021[c] + 1 C00073[c]
R01776[c]	1 C00024[c] + 1 C00263[c] <-> 1 C00010[c] + 1 C01077[c]
R03217[c]	1 C01077[c] + 1 C00097[c] <-> 1 C02291[c] + 1 C00033[c]
R03232[c]	1 C04261[c] + 1 C00095[c] <-> 1 C00615[c] + 1 C01094[c]
R02568[c]	1 C01094[c] <-> 1 C00111[c] + 1 C00577[c]
R01830[c]	1 C05345[c] + 1 C00118[c] <-> 1 C00279[c] + 1 C00231[c]
R01529[c]	1 C00199[c] <-> 1 C00231[c]
R10049[c]	1 C00546[c] + 1 C00354[c] <-> 1 C00118[c] + 1 C16848[c]
R03084[c]	1 C00944[c] <-> 1 C02637[c] + 1 C00001[c]
R02413[c]	1 C00493[c] + 1 C00006[c] <-> 1 C02637[c] + 1 C00005[c] + 1 C00080[c]
R01714[c]	1 C01269[c] <-> 1 C00251[c] + 1 C00009[c]
R01731[c]	1 C00036[c] + 1 C00826[c] <-> 1 C00049[c] + 1 C00254[c]
R03508[c]	1 C01302[c] <-> 1 C03506[c] + 1 C00011[c] + 1 C00001[c]
R01373[c]	1 C00254[c] <-> 1 C00166[c] + 1 C00001[c] + 1 C00011[c]
R00150[c]	1 C00002[c] + 1 C00014[c] + 1 C00288[c] <-> 1 C00008[c] + 1 C00169[c] + 1 C00001[c]
